code,year,diag_age,rate,lower95,upper95,Race,Sex
di,1981,85+,745.348,701.086,791.672,White,F
di,1982,All ages,83.32,81.465,85.206,White,F
di,1982,00-04,,,,White,F
di,1982,00,,,,White,F
di,1982,01-04,,,,White,F
di,1982,05-09,,,,White,F
di,1982,10-14,,,,White,F
di,1982,15-19,,,,White,F
di,1982,20-24,,,,White,F
di,1982,25-29,2.058,1.199,3.296,White,F
di,1982,30-34,4.332,2.982,6.083,White,F
di,1982,35-39,8.759,6.616,11.374,White,F
di,1982,40-44,21.172,17.334,25.607,White,F
di,1982,45-49,36.045,30.644,42.124,White,F
di,1982,50-54,73.537,65.927,81.784,White,F
di,1982,55-59,116.775,107.269,126.898,White,F
di,1982,60-64,181.388,168.997,194.448,White,F
di,1982,65-69,279.377,262.802,296.723,White,F
di,1982,70-74,369.828,348.733,391.866,White,F
di,1982,75-79,526.342,497.677,556.227,White,F
di,1982,80-84,626.663,588.918,666.193,White,F
di,1982,85+,746.99,703.454,792.514,White,F
di,1983,All ages,85.211,83.339,87.115,White,F
di,1983,00-04,,,,White,F
di,1983,00,,,,White,F
di,1983,01-04,,,,White,F
di,1983,05-09,,,,White,F
di,1983,10-14,,,,White,F
di,1983,15-19,,,,White,F
di,1983,20-24,,,,White,F
di,1983,25-29,2.034,1.185,3.256,White,F
di,1983,30-34,4.154,2.841,5.864,White,F
di,1983,35-39,8.828,6.703,11.412,White,F
di,1983,40-44,16.969,13.645,20.858,White,F
di,1983,45-49,35.298,29.993,41.272,White,F
di,1983,50-54,75.302,67.476,83.787,White,F
di,1983,55-59,119.172,109.513,129.454,White,F
di,1983,60-64,187.002,174.412,200.26,White,F
di,1983,65-69,271.623,255.425,288.579,White,F
di,1983,70-74,395.905,374.31,418.421,White,F
di,1983,75-79,517.537,489.462,546.803,White,F
di,1983,80-84,630.341,592.857,669.575,White,F
di,1983,85+,756.954,713.887,801.94,White,F
di,1984,All ages,87.61,85.716,89.536,White,F
di,1984,00-04,,,,White,F
di,1984,00,,,,White,F
di,1984,01-04,,,,White,F
di,1984,05-09,,,,White,F
di,1984,10-14,,,,White,F
di,1984,15-19,,,,White,F
di,1984,20-24,,,,White,F
di,1984,25-29,,,,White,F
di,1984,30-34,4.841,3.426,6.645,White,F
di,1984,35-39,8.338,6.315,10.803,White,F
di,1984,40-44,20.614,17.004,24.764,White,F
di,1984,45-49,44.683,38.747,51.27,White,F
di,1984,50-54,71.878,64.147,80.284,White,F
di,1984,55-59,129.526,119.359,140.327,White,F
di,1984,60-64,182.249,169.875,195.286,White,F
di,1984,65-69,274.465,258.271,291.408,White,F
di,1984,70-74,386.824,365.683,408.868,White,F
di,1984,75-79,521.831,493.921,550.908,White,F
di,1984,80-84,691.815,652.965,732.372,White,F
di,1984,85+,737.6,695.706,781.358,White,F
di,1985,All ages,89.53,87.621,91.471,White,F
di,1985,00-04,,,,White,F
di,1985,00,,,,White,F
di,1985,01-04,,,,White,F
di,1985,05-09,,,,White,F
di,1985,10-14,,,,White,F
di,1985,15-19,,,,White,F
di,1985,20-24,,,,White,F
di,1985,25-29,,,,White,F
di,1985,30-34,3.362,2.215,4.891,White,F
di,1985,35-39,8.161,6.197,10.55,White,F
di,1985,40-44,16.729,13.55,20.428,White,F
di,1985,45-49,40.568,34.961,46.817,White,F
di,1985,50-54,79.535,71.34,88.414,White,F
di,1985,55-59,124.922,114.841,135.651,White,F
di,1985,60-64,195.713,182.93,209.154,White,F
di,1985,65-69,286.59,270.129,303.791,White,F
di,1985,70-74,399.141,377.833,421.338,White,F
di,1985,75-79,555.95,527.446,585.594,White,F
di,1985,80-84,650.655,613.429,689.55,White,F
di,1985,85+,729.845,688.671,772.838,White,F
di,1986,All ages,85.694,83.832,87.588,White,F
di,1986,00-04,,,,White,F
di,1986,00,,,,White,F
di,1986,01-04,,,,White,F
di,1986,05-09,,,,White,F
di,1986,10-14,,,,White,F
di,1986,15-19,,,,White,F
di,1986,20-24,,,,White,F
di,1986,25-29,,,,White,F
di,1986,30-34,4.641,3.284,6.37,White,F
di,1986,35-39,6.945,5.187,9.108,White,F
di,1986,40-44,17.848,14.598,21.606,White,F
di,1986,45-49,36.855,31.582,42.757,White,F
di,1986,50-54,66.679,59.149,74.903,White,F
di,1986,55-59,115.933,106.154,126.371,White,F
di,1986,60-64,187.316,174.758,200.538,White,F
di,1986,65-69,280.128,264.01,296.973,White,F
di,1986,70-74,385.435,364.607,407.144,White,F
di,1986,75-79,486.442,460.064,513.939,White,F
di,1986,80-84,624.729,588.736,662.347,White,F
di,1986,85+,738.964,698.025,781.677,White,F
di,1987,All ages,84.226,82.385,86.098,White,F
di,1987,00-04,,,,White,F
di,1987,00,,,,White,F
di,1987,01-04,,,,White,F
di,1987,05-09,,,,White,F
di,1987,10-14,,,,White,F
di,1987,15-19,,,,White,F
di,1987,20-24,,,,White,F
di,1987,25-29,,,,White,F
di,1987,30-34,4.308,3.017,5.964,White,F
di,1987,35-39,7.785,5.912,10.065,White,F
di,1987,40-44,16.377,13.395,19.825,White,F
di,1987,45-49,32.869,27.988,38.356,White,F
di,1987,50-54,70.748,62.98,79.209,White,F
di,1987,55-59,116.538,106.623,127.126,White,F
di,1987,60-64,182.457,169.985,195.602,White,F
di,1987,65-69,252.008,236.837,267.897,White,F
di,1987,70-74,364.104,343.998,385.079,White,F
di,1987,75-79,487.955,461.826,515.176,White,F
di,1987,80-84,645.007,608.861,682.739,White,F
di,1987,85+,719.254,679.358,760.881,White,F
di,1988,All ages,83.223,81.399,85.078,White,F
di,1988,00-04,,,,White,F
di,1988,00,,,,White,F
di,1988,01-04,,,,White,F
di,1988,05-09,,,,White,F
di,1988,10-14,,,,White,F
di,1988,15-19,,,,White,F
di,1988,20-24,,,,White,F
di,1988,25-29,2.411,1.472,3.723,White,F
di,1988,30-34,3.424,2.293,4.917,White,F
di,1988,35-39,8.176,6.268,10.481,White,F
di,1988,40-44,15.664,12.798,18.979,White,F
di,1988,45-49,34.247,29.401,39.665,White,F
di,1988,50-54,66.106,58.666,74.228,White,F
di,1988,55-59,112.858,102.956,123.456,White,F
di,1988,60-64,169.954,157.896,182.689,White,F
di,1988,65-69,251.181,236.059,267.018,White,F
di,1988,70-74,369.509,349.386,390.489,White,F
di,1988,75-79,481.923,456.186,508.734,White,F
di,1988,80-84,624.574,589.456,661.237,White,F
di,1988,85+,709.926,670.643,750.909,White,F
di,1989,All ages,84.897,83.06,86.765,White,F
di,1989,00-04,,,,White,F
di,1989,00,,,,White,F
di,1989,01-04,,,,White,F
di,1989,05-09,,,,White,F
di,1989,10-14,,,,White,F
di,1989,15-19,,,,White,F
di,1989,20-24,,,,White,F
di,1989,25-29,,,,White,F
di,1989,30-34,5.052,3.657,6.806,White,F
di,1989,35-39,9.165,7.158,11.561,White,F
di,1989,40-44,20.193,16.987,23.829,White,F
di,1989,45-49,33.261,28.579,38.491,White,F
di,1989,50-54,59.711,52.712,67.381,White,F
di,1989,55-59,110.799,100.861,121.451,White,F
di,1989,60-64,176.079,163.717,189.127,White,F
di,1989,65-69,253.161,238.05,268.98,White,F
di,1989,70-74,360.828,341.046,381.46,White,F
di,1989,75-79,513.091,486.757,540.479,White,F
di,1989,80-84,604.437,570.281,640.105,White,F
di,1989,85+,735.098,695.617,776.237,White,F
di,1990,All ages,83.541,81.726,85.386,White,F
di,1990,00-04,,,,White,F
di,1990,00,,,,White,F
di,1990,01-04,,,,White,F
di,1990,05-09,,,,White,F
di,1990,10-14,,,,White,F
di,1990,15-19,,,,White,F
di,1990,20-24,,,,White,F
di,1990,25-29,2.488,1.52,3.842,White,F
di,1990,30-34,3.63,2.466,5.153,White,F
di,1990,35-39,9.579,7.547,11.989,White,F
di,1990,40-44,17.259,14.366,20.563,White,F
di,1990,45-49,33.473,28.848,38.63,White,F
di,1990,50-54,65.998,58.669,73.99,White,F
di,1990,55-59,108.42,98.535,119.027,White,F
di,1990,60-64,173.143,160.785,186.2,White,F
di,1990,65-69,259.539,244.289,275.491,White,F
di,1990,70-74,357.369,337.807,377.769,White,F
di,1990,75-79,489.312,463.842,515.817,White,F
di,1990,80-84,619.611,585.409,655.29,White,F
di,1990,85+,661.654,624.773,700.143,White,F
di,1991,All ages,84.182,82.369,86.024,White,F
di,1991,00-04,,,,White,F
di,1991,00,,,,White,F
di,1991,01-04,,,,White,F
di,1991,05-09,,,,White,F
di,1991,10-14,,,,White,F
di,1991,15-19,,,,White,F
di,1991,20-24,,,,White,F
di,1991,25-29,,,,White,F
di,1991,30-34,3.708,2.536,5.234,White,F
di,1991,35-39,8.721,6.811,11,White,F
di,1991,40-44,17.641,14.781,20.894,White,F
di,1991,45-49,32.789,28.258,37.84,White,F
di,1991,50-54,64.987,57.817,72.801,White,F
di,1991,55-59,107.362,97.498,117.954,White,F
di,1991,60-64,169.162,156.896,182.133,White,F
di,1991,65-69,250.628,235.561,266.406,White,F
di,1991,70-74,371.216,351.473,391.779,White,F
di,1991,75-79,506.268,480.664,532.882,White,F
di,1991,80-84,595.106,562.016,629.636,White,F
di,1991,85+,678.732,642.054,716.959,White,F
di,1992,All ages,82.809,81.02,84.627,White,F
di,1992,00-04,,,,White,F
di,1992,00,,,,White,F
di,1992,01-04,,,,White,F
di,1992,05-09,,,,White,F
di,1992,10-14,,,,White,F
di,1992,15-19,,,,White,F
di,1992,20-24,,,,White,F
di,1992,25-29,2.097,1.198,3.405,White,F
di,1992,30-34,4.62,3.301,6.292,White,F
di,1992,35-39,8.515,6.651,10.741,White,F
di,1992,40-44,16.935,14.128,20.136,White,F
di,1992,45-49,31.573,27.318,36.303,White,F
di,1992,50-54,62.834,55.924,70.361,White,F
di,1992,55-59,105.713,95.956,116.193,White,F
di,1992,60-64,178.151,165.444,191.576,White,F
di,1992,65-69,256.444,241.101,272.508,White,F
di,1992,70-74,358.412,339.228,378.399,White,F
di,1992,75-79,456.475,432.412,481.529,White,F
di,1992,80-84,600.048,567.305,634.188,White,F
di,1992,85+,648.589,613.349,685.325,White,F
di,1993,All ages,81.842,80.072,83.642,White,F
di,1993,00-04,,,,White,F
di,1993,00,,,,White,F
di,1993,01-04,,,,White,F
di,1993,05-09,,,,White,F
di,1993,10-14,,,,White,F
di,1993,15-19,,,,White,F
di,1993,20-24,,,,White,F
di,1993,25-29,2.157,1.233,3.503,White,F
di,1993,30-34,2.667,1.691,4.002,White,F
di,1993,35-39,9.43,7.477,11.736,White,F
di,1993,40-44,16.298,13.566,19.418,White,F
di,1993,45-49,33.361,29.05,38.131,White,F
di,1993,50-54,56.074,49.752,62.977,White,F
di,1993,55-59,101.779,92.298,111.968,White,F
di,1993,60-64,171.755,159.114,185.134,White,F
di,1993,65-69,249.98,234.784,265.901,White,F
di,1993,70-74,352.155,333.219,371.886,White,F
di,1993,75-79,465.043,440.948,490.113,White,F
di,1993,80-84,563.061,531.766,595.718,White,F
di,1993,85+,665.904,630.788,702.467,White,F
di,1994,All ages,81.485,79.724,83.275,White,F
di,1994,00-04,,,,White,F
di,1994,00,,,,White,F
di,1994,01-04,,,,White,F
di,1994,05-09,,,,White,F
di,1994,10-14,,,,White,F
di,1994,15-19,,,,White,F
di,1994,20-24,,,,White,F
di,1994,25-29,2.758,1.684,4.259,White,F
di,1994,30-34,3.506,2.365,5.004,White,F
di,1994,35-39,8.165,6.365,10.316,White,F
di,1994,40-44,18.921,15.995,22.226,White,F
di,1994,45-49,27.878,24.025,32.173,White,F
di,1994,50-54,57.775,51.482,64.625,White,F
di,1994,55-59,107.242,97.613,117.564,White,F
di,1994,60-64,171.475,158.707,184.996,White,F
di,1994,65-69,237.127,222.224,252.767,White,F
di,1994,70-74,346.344,327.636,365.843,White,F
di,1994,75-79,447.273,423.832,471.673,White,F
di,1994,80-84,580.486,549.068,613.232,White,F
di,1994,85+,663.941,629.394,699.891,White,F
di,1995,All ages,81.032,79.283,82.81,White,F
di,1995,00-04,,,,White,F
di,1995,00,,,,White,F
di,1995,01-04,,,,White,F
di,1995,05-09,,,,White,F
di,1995,10-14,,,,White,F
di,1995,15-19,,,,White,F
di,1995,20-24,,,,White,F
di,1995,25-29,2.923,1.81,4.469,White,F
di,1995,30-34,3.922,2.7,5.508,White,F
di,1995,35-39,6.708,5.093,8.671,White,F
di,1995,40-44,16.787,14.065,19.882,White,F
di,1995,45-49,30.464,26.51,34.842,White,F
di,1995,50-54,57.283,51.131,63.972,White,F
di,1995,55-59,109.648,99.968,120.012,White,F
di,1995,60-64,163.237,150.737,176.496,White,F
di,1995,65-69,258.912,243.204,275.369,White,F
di,1995,70-74,364.361,345.224,384.284,White,F
di,1995,75-79,424.622,401.945,448.245,White,F
di,1995,80-84,543.295,513.293,574.593,White,F
di,1995,85+,633.233,600.01,667.817,White,F
di,1996,All ages,82.244,80.488,84.029,White,F
di,1996,00-04,,,,White,F
di,1996,00,,,,White,F
di,1996,01-04,,,,White,F
di,1996,05-09,,,,White,F
di,1996,10-14,,,,White,F
di,1996,15-19,,,,White,F
