site,period,diag_age,rate,lower95,upper95,race,gender
0,1989,65-69,1337.418,1305.165,1370.268,All races,F
0,1989,70-74,1592.383,1553.461,1632.034,All races,F
0,1989,75-79,1852.145,1804.996,1900.214,All races,F
0,1989,80-84,1948.194,1889.708,2008.029,All races,F
0,1989,85+,2040.094,1977.185,2104.496,All races,F
0,1990,All ages,412.194,408.581,415.831,All races,F
0,1990,00-04,17.571,14.922,20.555,All races,F
0,1990,00,17.404,11.98,24.442,All races,F
0,1990,01-04,17.617,14.641,21.019,All races,F
0,1990,05-09,10.321,8.267,12.731,All races,F
0,1990,10-14,9.796,7.743,12.226,All races,F
0,1990,15-19,19.781,16.799,23.141,All races,F
0,1990,20-24,33.482,29.757,37.543,All races,F
0,1990,25-29,57.284,52.755,62.099,All races,F
0,1990,30-34,92.228,86.594,98.132,All races,F
0,1990,35-39,163.034,155.219,171.14,All races,F
0,1990,40-44,273.491,262.787,284.519,All races,F
0,1990,45-49,420.283,405.028,435.966,All races,F
0,1990,50-54,588.799,568.577,609.557,All races,F
0,1990,55-59,803.057,778.306,828.395,All races,F
0,1990,60-64,1084.195,1055.732,1113.232,All races,F
0,1990,65-69,1379.18,1346.6,1412.35,All races,F
0,1990,70-74,1641.661,1602.456,1681.583,All races,F
0,1990,75-79,1852.374,1805.719,1899.929,All races,F
0,1990,80-84,2012.597,1953.881,2072.629,All races,F
0,1990,85+,1933.193,1872.9,1994.934,All races,F
0,1991,All ages,416.878,413.27,420.511,All races,F
0,1991,00-04,21.071,18.181,24.29,All races,F
0,1991,00,28.242,21.155,36.941,All races,F
0,1991,01-04,19.186,16.108,22.682,All races,F
0,1991,05-09,10.341,8.294,12.741,All races,F
0,1991,10-14,13.243,10.874,15.975,All races,F
0,1991,15-19,17.62,14.783,20.842,All races,F
0,1991,20-24,35.173,31.354,39.328,All races,F
0,1991,25-29,55.865,51.36,60.658,All races,F
0,1991,30-34,95.749,90.047,101.717,All races,F
0,1991,35-39,159.685,152.061,167.593,All races,F
0,1991,40-44,263.397,253.16,273.942,All races,F
0,1991,45-49,427.024,411.838,442.626,All races,F
0,1991,50-54,595.971,575.934,616.526,All races,F
0,1991,55-59,816.6,791.596,842.193,All races,F
0,1991,60-64,1059.483,1031.273,1088.269,All races,F
0,1991,65-69,1388.032,1355.231,1421.428,All races,F
0,1991,70-74,1680.573,1641.362,1720.484,All races,F
0,1991,75-79,1893.997,1847.421,1941.449,All races,F
0,1991,80-84,1987.163,1929.63,2045.975,All races,F
0,1991,85+,1998.977,1938.839,2060.506,All races,F
0,1992,All ages,415.365,411.788,418.964,All races,F
0,1992,00-04,16.965,14.399,19.856,All races,F
0,1992,00,25.821,19.038,34.234,All races,F
0,1992,01-04,14.703,12.049,17.767,All races,F
0,1992,05-09,8.416,6.585,10.599,All races,F
0,1992,10-14,12.188,9.949,14.782,All races,F
0,1992,15-19,23.578,20.285,27.253,All races,F
0,1992,20-24,36.154,32.271,40.375,All races,F
0,1992,25-29,60.289,55.565,65.308,All races,F
0,1992,30-34,91.292,85.748,97.101,All races,F
0,1992,35-39,160.321,152.785,168.132,All races,F
0,1992,40-44,260.702,250.538,271.174,All races,F
0,1992,45-49,411.106,396.853,425.739,All races,F
0,1992,50-54,578.845,559.522,598.665,All races,F
0,1992,55-59,806.617,781.873,831.945,All races,F
0,1992,60-64,1085.594,1056.844,1114.929,All races,F
0,1992,65-69,1395.28,1362.263,1428.895,All races,F
0,1992,70-74,1652.231,1613.845,1691.299,All races,F
0,1992,75-79,1862.102,1816.43,1908.632,All races,F
0,1992,80-84,1972.622,1916.206,2030.277,All races,F
0,1992,85+,1970.355,1911.728,2030.322,All races,F
0,1993,All ages,410.382,406.851,413.936,All races,F
0,1993,00-04,21.579,18.685,24.794,All races,F
0,1993,00,25.268,18.5,33.704,All races,F
0,1993,01-04,20.672,17.526,24.219,All races,F
